ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1991-01-01,3189.452541717008,1987.00971704008,2320.2650065168364,3189.452541717008,3189.452541717008,-1035.8926459223921,-1035.8926459223921,-1035.8926459223921,-1035.8926459223921,-1035.8926459223921,-1035.8926459223921,0.0,0.0,0.0,2153.559895794616
1992-01-01,3248.309868712072,2089.1023683997614,2411.895304701158,3248.309868712072,3248.309868712072,-995.865846979134,-995.865846979134,-995.865846979134,-995.865846979134,-995.865846979134,-995.865846979134,0.0,0.0,0.0,2252.444021732938
1993-01-01,3307.328448657806,2135.102152866909,2485.665462980489,3307.328448657806,3307.328448657806,-1003.7841659020897,-1003.7841659020897,-1003.7841659020897,-1003.7841659020897,-1003.7841659020897,-1003.7841659020897,0.0,0.0,0.0,2303.5442827557163
1994-01-01,3366.229736936364,2170.3419087569023,2498.6134902045924,3366.229736936364,3366.229736936364,-1038.5117945026725,-1038.5117945026725,-1038.5117945026725,-1038.5117945026725,-1038.5117945026725,-1038.5117945026725,0.0,0.0,0.0,2327.717942433692
1995-01-01,3425.131025214922,2236.190296593768,2561.1083948807805,3425.131025214922,3425.131025214922,-1035.8926459223294,-1035.8926459223294,-1035.8926459223294,-1035.8926459223294,-1035.8926459223294,-1035.8926459223294,0.0,0.0,0.0,2389.2383792925925
1996-01-01,3484.0374543070525,2319.3579152314655,2655.131982099533,3484.0374543070525,3484.0374543070525,-995.8658469790738,-995.8658469790738,-995.8658469790738,-995.8658469790738,-995.8658469790738,-995.8658469790738,0.0,0.0,0.0,2488.1716073279786
1997-01-01,3543.1052708761476,2379.008861078285,2705.1546716917715,3543.1052708761476,3543.1052708761476,-1003.7841659022582,-1003.7841659022582,-1003.7841659022582,-1003.7841659022582,-1003.7841659022582,-1003.7841659022582,0.0,0.0,0.0,2539.3211049738893
1998-01-01,3602.027584580657,2383.9853128433238,2735.1428773195753,3602.027584580657,3602.027584580657,-1038.5117945025659,-1038.5117945025659,-1038.5117945025659,-1038.5117945025659,-1038.5117945025659,-1038.5117945025659,0.0,0.0,0.0,2563.515790078091
1999-01-01,3660.9498982851655,2453.458708117199,2794.045869889603,3660.9498982851655,3660.9498982851655,-1035.8926459223526,-1035.8926459223526,-1035.8926459223526,-1035.8926459223526,-1035.8926459223526,-1035.8926459223526,0.0,0.0,0.0,2625.057252362813
2000-01-01,3719.9626929300425,2559.4438682260325,2901.5104459195836,3719.9626929300425,3719.9626929300425,-995.8658469787678,-995.8658469787678,-995.8658469787678,-995.8658469787678,-995.8658469787678,-995.8658469787678,0.0,0.0,0.0,2724.0968459512746
2001-01-01,3779.1371664643575,2613.426583401087,2928.52839517981,3779.1371664643575,3779.1371664643575,-1003.7841659026307,-1003.7841659026307,-1003.7841659026307,-1003.7841659026307,-1003.7841659026307,-1003.7841659026307,0.0,0.0,0.0,2775.3530005617267
2002-01-01,3877.021587183553,2678.490382906005,3013.8802845731184,3877.021587183553,3877.021587183553,-1038.5117945026861,-1038.5117945026861,-1038.5117945026861,-1038.5117945026861,-1038.5117945026861,-1038.5117945026861,0.0,0.0,0.0,2838.5097926808667
2003-01-01,3974.90600790275,2763.7278642575284,3097.478845800454,3974.90600790275,3974.90600790275,-1035.892645922155,-1035.892645922155,-1035.892645922155,-1035.892645922155,-1035.892645922155,-1035.892645922155,0.0,0.0,0.0,2939.0133619805947
2004-01-01,4072.9312020588345,2906.0299966310918,3243.215948199508,4072.9312020588345,4072.9312020588345,-995.865846979139,-995.865846979139,-995.865846979139,-995.865846979139,-995.865846979139,-995.865846979139,0.0,0.0,0.0,3077.0653550796956
2005-01-01,4243.1926139899,3074.4830928776637,3407.683456283564,4243.1926139899,4243.1926139899,-1003.7841659024533,-1003.7841659024533,-1003.7841659024533,-1003.7841659024533,-1003.7841659024533,-1003.7841659024533,0.0,0.0,0.0,3239.4084480874462
2006-01-01,4412.988830806403,3185.024016930484,3528.5013602202116,4412.988830806403,4412.988830806403,-1038.511794502759,-1038.511794502759,-1038.511794502759,-1038.511794502759,-1038.511794502759,-1038.511794502759,0.0,0.0,0.0,3374.477036303644
2007-01-01,4582.803905396059,3370.438055361714,3713.1680014121584,4582.803905396059,4582.803905396059,-1035.89264592255,-1035.89264592255,-1035.89264592255,-1035.89264592255,-1035.89264592255,-1035.89264592255,0.0,0.0,0.0,3546.9112594735093
2008-01-01,4752.618979985715,3588.4131579499,3927.0739505547435,4752.618979985715,4752.618979985715,-995.8658469790405,-995.8658469790405,-995.8658469790405,-995.8658469790405,-995.8658469790405,-995.8658469790405,0.0,0.0,0.0,3756.753133006674
2009-01-01,4922.915382080645,3742.1050421362074,4087.6992433464234,4922.915382080645,4922.915382080645,-1003.7841659020019,-1003.7841659020019,-1003.7841659020019,-1003.7841659020019,-1003.7841659020019,-1003.7841659020019,0.0,0.0,0.0,3919.131216178643
2010-01-01,5092.746493459469,3894.5546555348237,4217.746170604804,5092.746493459469,5092.746493459469,-1038.511794502525,-1038.511794502525,-1038.511794502525,-1038.511794502525,-1038.511794502525,-1038.511794502525,0.0,0.0,0.0,4054.234698956944
2011-01-01,5262.59264035332,4033.975563223371,4390.74821325154,5262.59264035332,5262.59264035332,-1035.892645922178,-1035.892645922178,-1035.892645922178,-1035.892645922178,-1035.892645922178,-1035.892645922178,0.0,0.0,0.0,4226.699994431143
2012-01-01,5432.43878724717,4272.255792779245,4596.064615761847,5432.43878724717,5432.43878724717,-995.8658469789613,-995.8658469789613,-995.8658469789613,-995.8658469789613,-995.8658469789613,-995.8658469789613,0.0,0.0,0.0,4436.572940268208
2013-01-01,5845.1629681406675,4668.377712617479,5002.007128985194,5845.1629681406675,5845.1629681406675,-1003.7841659027022,-1003.7841659027022,-1003.7841659027022,-1003.7841659027022,-1003.7841659027022,-1003.7841659027022,0.0,0.0,0.0,4841.378802237965
2014-01-01,6256.759487337737,5047.856044081682,5392.222321786207,6256.759487337737,6256.759487337737,-1038.511794502918,-1038.511794502918,-1038.511794502918,-1038.511794502918,-1038.511794502918,-1038.511794502918,0.0,0.0,0.0,5218.247692834819
2015-01-01,6668.356006534805,5468.67482939833,5796.295903541939,6668.356006534805,6668.356006534805,-1035.8926459225263,-1035.8926459225263,-1035.8926459225263,-1035.8926459225263,-1035.8926459225263,-1035.8926459225263,0.0,0.0,0.0,5632.463360612279
2016-01-01,7079.952525731871,5909.523230861603,6243.625074381969,7079.952525731871,7079.952525731871,-995.8658469788375,-995.8658469788375,-995.8658469788375,-995.8658469788375,-995.8658469788375,-995.8658469788375,0.0,0.0,0.0,6084.086678753034
2017-01-01,7492.6767066253715,6321.115263558969,6662.4906752770985,7492.6767066253715,7492.6767066253715,-1003.7841659019563,-1003.7841659019563,-1003.7841659019563,-1003.7841659019563,-1003.7841659019563,-1003.7841659019563,0.0,0.0,0.0,6488.892540723416
2018-01-01,7904.273225822438,6700.139165059674,7036.86310534522,7904.273225822438,7904.273225822438,-1038.511794502652,-1038.511794502652,-1038.511794502652,-1038.511794502652,-1038.511794502652,-1038.511794502652,0.0,0.0,0.0,6865.7614313197855
2019-01-01,8315.869745019503,7107.794177477453,7447.18008533655,8315.869745019503,8315.869745019503,-1035.8926459226873,-1035.8926459226873,-1035.8926459226873,-1035.8926459226873,-1035.8926459226873,-1035.8926459226873,0.0,0.0,0.0,7279.977099096815
2020-01-01,8727.466264216575,7553.015146932147,7896.413291756122,8727.466264216575,8727.466264216575,-995.8658469788287,-995.8658469788287,-995.8658469788287,-995.8658469788287,-995.8658469788287,-995.8658469788287,0.0,0.0,0.0,7731.600417237746
2021-01-01,9140.19044511007,7967.205231136494,8316.888669969218,9140.19044511007,9140.19044511007,-1003.7841659023587,-1003.7841659023587,-1003.7841659023587,-1003.7841659023587,-1003.7841659023587,-1003.7841659023587,0.0,0.0,0.0,8136.406279207712
2022-01-01,9551.78696430714,8348.134469911023,8673.481023263505,9551.78696430714,9551.78696430714,-1038.5117945028226,-1038.5117945028226,-1038.5117945028226,-1038.5117945028226,-1038.5117945028226,-1038.5117945028226,0.0,0.0,0.0,8513.275169804318
2023-01-01,9963.383483504207,8758.811715505288,9101.093059539255,9963.383483504207,9963.383483504207,-1035.8926459221311,-1035.8926459221311,-1035.8926459221311,-1035.8926459221311,-1035.8926459221311,-1035.8926459221311,0.0,0.0,0.0,8927.490837582076
2024-01-01,10374.980002701273,9212.404181571275,9537.32105834824,10374.980002701273,10374.980002701273,-995.865846979402,-995.865846979402,-995.865846979402,-995.865846979402,-995.865846979402,-995.865846979402,0.0,0.0,0.0,9379.11415572187
2025-01-01,10787.704183594773,9610.624816826365,9941.0122772215,10787.704183594773,10787.704183594773,-1003.7841659015484,-1003.7841659015484,-1003.7841659015484,-1003.7841659015484,-1003.7841659015484,-1003.7841659015484,0.0,0.0,0.0,9783.920017693225
2025-12-31,11198.173041095411,10225.498058114554,10559.443342035438,11192.548108742354,11202.723516250457,-803.6739706591469,-803.6739706591469,-803.6739706591469,-803.6739706591469,-803.6739706591469,-803.6739706591469,0.0,0.0,0.0,10394.499070436264
2026-12-31,11609.769560292478,10799.36296288608,11126.436313665612,11590.673253761652,11626.598720079233,-651.715284562691,-651.715284562691,-651.715284562691,-651.715284562691,-651.715284562691,-651.715284562691,0.0,0.0,0.0,10958.054275729786
2027-12-31,12021.366079489548,11383.406870366698,11742.00340799359,11981.81871335627,12058.964190284307,-462.7614540947157,-462.7614540947157,-462.7614540947157,-462.7614540947157,-462.7614540947157,-462.7614540947157,0.0,0.0,0.0,11558.604625394832
2028-12-31,12434.090260383044,11322.287407984628,11684.817014345308,12368.097098844017,12500.674369544427,-918.4361520402501,-918.4361520402501,-918.4361520402501,-918.4361520402501,-918.4361520402501,-918.4361520402501,0.0,0.0,0.0,11515.654108342793
2029-12-31,12845.686779580114,11836.25087596602,12241.014575097082,12751.70713272637,12940.97526537124,-803.6739706579295,-803.6739706579295,-803.6739706579295,-803.6739706579295,-803.6739706579295,-803.6739706579295,0.0,0.0,0.0,12042.012808922183
2030-12-31,13257.28329877718,12397.155862270107,12820.279692299206,13135.719284095409,13384.418911217066,-651.715284562779,-651.715284562779,-651.715284562779,-651.715284562779,-651.715284562779,-651.715284562779,0.0,0.0,0.0,12605.568014214401
